Name,City,Address,Latitude,Longitude
Кокино вино,Куманово,"Куманово, Козјачка, с.Доброшане 15",41.4291019,22.0951754
Картал,Скопје,"Скопје, ул.1519 7",41.4291019,22.0951754
Таком Груп,Скопје,"Скопје, бул.Јане Сандански 7-1-1/11",41.4291019,22.0951754
Попова кула,Скопје,"Скопје, Даме Груев 5-7/1",41.4291019,22.0951754
Визба Валандово,Валандово,"Валандово, Никола Карев 6",41.4291019,22.0951754
Далвина,Скопје,"Скопје, Франклин Рузвелт 22",41.4291019,22.0951754
Пирган,Прилеп,"Прилеп, Орде Чопела 173",41.4291019,22.0951754
Имако Вино,Битола,"Битола, Железничка б.б.",41.4291019,22.0951754
Имако Вино,Скопје,"Скопје, Перо Наков б.б.",41.4291019,22.0951754
Езимит,Штип,"Штип, Брегалничка 64",41.4291019,22.0951754
Далвина,Струмица,"Струмица, с.Хамзали",41.4291019,22.0951754
Риго импекс,Гевгелија,"Гевгелија, Гоце Делчев, с.Мрзенци б.б.",41.4291019,22.0951754
Езимит,Штип,"Штип, Маршал Тито, с.Лозово 5",41.4291019,22.0951754
Шато сопот,Велес,"Велес, с.Сопот",41.4291019,22.0951754
ВВМ ГД Тиквеш,Кавадарци,"Кавадарци, Шишка 2",41.4291019,22.0951754
Агрониколов,Велес,"Велес, 4-ти Јули 1",41.4291019,22.0951754
Изворно,Велес,"Велес, Никола Оровчанец 1",41.4291019,22.0951754
Кувин,Скопје,"Скопје, Македонска Преродба 70",41.4291019,22.0951754
Бујук,Кавадарци,"Кавадарци, с.Дабниште",41.4291019,22.0951754
Ангелови,Кавадарци,"Кавадарци, Македонија 6.6.",41.4291019,22.0951754
Дестилерија Китвин,Кавадарци,"Кавадарци, Вељко Влаховиќ 2-2/6",41.4291019,22.0951754
Зик Градиште,Куманово,"Куманово, с.Градиште",41.4291019,22.0951754
Лазар,Велес,"Велес, Автопат Велес-Гевгелија",41.4291019,22.0951754
Далвина,Струмица,"Струмица, с.Хамзали Босилово 9",41.4291019,22.0951754
Пешков,Кавадарци,"Кавадарци, с.Ресава",41.4291019,22.0951754
Антигона Парк,Скопје,"Скопје, ул.516 бр.6",41.4291019,22.0951754
Парагон урбан вајнери,Скопје,"Скопје, Борис Трајковски (Првомајска) 62",41.4291019,22.0951754
Олд Скул Винери,Велес,"Велес, Велешко езеро",41.4291019,22.0951754
Коцев Фемили Вајн,Велес,"Велес, с.Оморани",41.4291019,22.0951754
Вински подрум Попови,Кавадарци,"Кавадарци, Сремски Фронт 18",41.4291019,22.0951754
Донов,Кавадарци,"Кавадарци, Лазо Асијата 6",41.4291019,22.0951754
Максимилијан,Неготино,"Неготино, с.Пепелиште",41.4291019,22.0951754
Јостела,Гевгелија,"Гевгелија, Моински пат 154",41.4291019,22.0951754
Сарика,Прилеп,"Прилеп, Мирче Ацев 128",41.4291019,22.0951754
Вин арт,Скопје,"Скопје, Петар Поп Арсов 13-а/1",41.4291019,22.0951754
Воденица,Скопје,"Скопје, М.Т.Гологанов (Иво Лола Рибар) 69",41.4291019,22.0951754
Камник,Скопје,"Скопје, Камник б.б.",41.4291019,22.0951754
Камник вино,Скопје,"Скопје, Димитија Чуповски (Вељко Влаховиќ) 13",41.4291019,22.0951754
Вила Мал Свети Климент,Охрид,"Охрид, Методија Патчев 8",41.4291019,22.0951754
Сарафов,Струга,"Струга, 1-ва Македонска ударна бригада 1",41.4291019,22.0951754
Библиотека,Скопје,"Скопје, бул.Партизански Одреди 55/5",41.4291019,22.0951754
Етно Караула,Кочани,"Кочани, Пониква",41.4291019,22.0951754
Буре,Битола,"Битола, Широк Сокак (Маршал Тито) 88",41.4291019,22.0951754
Панорама,Струмица,"Струмица, с.Мокрино",41.4291019,22.0951754
Вила Дојрана,Дојран,"Дојран, Партизанска 41",41.4291019,22.0951754
КМС Малерич,Кавадарци,"Кавадарци, с.Марена",41.4291019,22.0951754
Виноро-Алкотека,Скопје,"Скопје, бул.Св.Климент Охридски 54",41.4291019,22.0951754
Боттега дел вино,Скопје,"Скопје, бул.Партизански Одреди 64/3-б",41.4291019,22.0951754
Сковин,Битола,"Битола, Широк Сокак (Маршал Тито) 79-а",41.4291019,22.0951754
www.wine.mk,Скопје,"Скопје, Камник б.б.",41.4291019,22.0951754
Вардарска долина,Неготино,"Неготино, с.Курија",41.4291019,22.0951754
Литл бокс,Скопје,"Скопје, Градски парк б.б.",41.4291019,22.0951754
Мовино,Кавадарци,"Кавадарци, Рибарци 1-б",41.4291019,22.0951754
Ресторан Тиквеш,Кавадарци,"Кавадарци, 29-ти Ноември 5",41.4291019,22.0951754
Рикомо,Штип,"Штип, К.Ј.Питу 23",41.4291019,22.0951754
Антигона,Неготино,"Неготино, Железничка б.б.",41.4291019,22.0951754
Пуклавец пријатели,Неготино,"Неготино, с.Долни Дисан",41.4291019,22.0951754
ГД-Тиквеш,Кавадарци,"Кавадарци, Шишка 2",41.4291019,22.0951754
Интер лукс трејд,Скопје,"Скопје, Анкарска 29-а лок.3",41.4291019,22.0951754
Чифлик,Битола,"Битола, с.Брусник 2/17",41.4291019,22.0951754
Фајн вајн,Скопје,"Скопје, Луј Пастер 5",41.4291019,22.0951754
Ено Бар,Скопје,"Скопје, бул.Илинден 160 лок.7",41.4291019,22.0951754
Винум,Скопје,"Скопје, Јадранска магистрала (Качанички пат), с.Визбегово 135",41.4291019,22.0951754
Патче,Охрид,"Охрид, Цар Самоил 60",41.4291019,22.0951754
Де Ферментио,Делчево,"Делчево, Методија Митевски-Брицо 22",41.4291019,22.0951754
Шато Камник,Скопје,"Скопје, Камник б.б.",41.4291019,22.0951754
Ростфреи Мајор Инокс,Битола,"Битола, Довлеџик б.б., п.фах 204",41.4291019,22.0951754
Тинг,Кочани,"Кочани, ул.566 17",41.4291019,22.0951754
Ан-би-та,Охрид,"Охрид, Железничка 117",41.4291019,22.0951754
Кристи,Охрид,"Охрид, Железничка 139/2",41.4291019,22.0951754
МГ Компани,Кавадарци,"Кавадарци, Западен булевар б.б.",41.4291019,22.0951754
Кодкордиа,Скопје,"Скопје, Товарник 1/28",41.4291019,22.0951754
Агротехника Исток,Штип,"Штип, Железничка 39",41.4291019,22.0951754
Партизан-Спортска Сала,Кавадарци,"Кавадарци, 7-ми Септември б.б.",41.4291019,22.0951754
Темка Трејд,Кавадарци,"Кавадарци, Игман 23/4",41.4291019,22.0951754
